Symbol,Company Name,Market Cap,Stock Price
196,SCGBHD,Southern Cable Group Berhad,977.30M
197,MMAG,MMAG Holdings Berhad,970.05M
198,KAREX,Karex Berhad,958.65M
199,HUPSENG,Hup Seng Industries Berhad,952.00M
200,HLCAP,Hong Leong Capital Berhad,947.86M
201,SPRITZER,Spritzer Bhd,945.56M
202,MSC,Malaysia Smelting Corporation Berhad,945.00M
203,SENTRAL,Sentral REIT,944.45M
204,CCK,CCK Consolidated Holdings Berhad,943.74M
205,GDEX,GDEX Berhad,941.82M
206,SNS,SNS Network Technology Berhad,939.76M
207,SYGROUP,Shin Yang Group Berhad,934.61M
208,NGGB,Nextgreen Global Berhad,934.16M
209,AJI,Ajinomoto (Malaysia) Berhad,933.87M
210,SERNKOU,Sern Kou Resources Berhad,927.16M
211,GENETEC,Genetec Technology Berhad,926.17M
212,SIGN,Signature International Berhad,920.31M
213,NCT,NCT Alliance Berhad,892.89M
214,SHANG,Shangri-La Hotels (Malaysia) Berhad,880.00M
215,MSM,MSM Malaysia Holdings Berhad,871.70M
216,TMCLIFE,TMC Life Sciences Berhad,870.94M
217,WASCO,Wasco Berhad,859.49M
218,LBS,LBS Bina Group Berhad,857.92M
219,PTRANS,Perak Transit Berhad,837.02M
220,AAX,AirAsia X Berhad,836.03M
221,TELADAN,Teladan Group Berhad,822.15M
222,INFOM,Infomina Berhad,817.70M
223,EWINT,Eco World International Berhad,804.00M
224,PANTECH,Pantech Group Holdings Berhad,792.90M
225,COASTAL,Coastal Contracts Bhd,791.93M
226,INNO,Innoprise Plantations Berhad,790.12M
227,DKSH,DKSH Holdings (Malaysia) Berhad,785.14M
228,WELLCAL,Wellcall Holdings Berhad,781.78M
229,MULPHA,Mulpha International Bhd,766.20M
230,SEG,SEG International Bhd,751.45M
231,PBA,PBA Holdings Bhd,751.36M
232,PPJACK,Pappajack Berhad,749.00M
233,JFTECH,JF Technology Berhad,741.65M
234,CHINTEK,Chin Teck Plantations Berhad,732.73M
235,AMEREIT,AME Real Estate Investment Trust,731.65M
236,BJASSET,Berjaya Assets Berhad,729.11M
237,SENFONG,Seng Fong Holdings Berhad,714.44M
238,REDTONE,REDtone Digital Berhad,703.39M
239,FPI,Formosa Prosonic Industries Berhad,702.13M
240,CYPARK,Cypark Resources Berhad,691.18M
